compounds	concentrations	minflux	maxflux
cl	0.001	-100	100
h	0.001	-100	100
ca2	0.001	-100	100
cu2	0.001	-100	100
so4	0.001	-100	100
zn2	0.001	-100	100
mn2	0.001	-100	100
nh4	0.001	-100	100
pi	0.001	-100	100
h20	0.001	-100	100
o2	0.001	-100	10
k	0.001	-100	100
mg2	0.001	-100	100
na1	0.001	-100	100
glc__D	0.001	-100	5
xyl__D	0.001	-100	5
